rank ,name ,ELO,title,federation,games,birth_year,INTRANK,ACTIVE,age
88,Shant Sargsyan ,2661,GM,Armenia ,511,2002,88,,21
89,Narayanan.S.L,2659,GM,India ,578,1998,89,,25
90,Sandro Mareco ,2657,GM,Argentina ,953,1987,90,,36
91,Etienne Bacrot ,2656,GM,France ,2687,1983,91,,40
92,Rauf Mamedov ,2656,GM,Azerbaijan ,1972,1988,92,,35
93,Nils Grandelius ,2655,GM,Sweden ,1354,1993,93,,30
94,Gata Kamsky ,2655,GM,United States ,2146,1974,94,,49
95,Kirill Shevchenko ,2654,GM,Ukraine ,551,2002,95,,21
96,Anton Demchenko ,2653,GM,FIDE ,882,1987,96,,36
97,Gawain C Jones ,2652,GM,United Kingdom ,1541,1987,97,,36
98,Dariusz Swiercz ,2652,GM,United States ,1131,1994,98,,29
99,Vladimir Malakhov ,2651,GM,FIDE ,1855,1980,99,,43
100,Nihal Sarin ,2651,GM,India ,676,2004,100,,19
101,Yifan Hou ,2650,GM,China ,1519,1994,101,,29
102,David W L Howell ,2650,GM,United Kingdom ,1638,1990,102,,33
103,Ferenc Berkes ,2649,GM,Hungary ,1674,1985,103,,38
104,Luke J McShane ,2649,GM,United Kingdom ,1581,1984,104,,39
105,Rasmus Svane ,2649,GM,Germany ,1029,1997,105,,26
106,Dmitrij Kollars ,2648,GM,Germany ,569,1999,106,,24
107,Praggnanandhaa R ,2648,GM,India ,496,2005,107,,18
108,Alan Pichot ,2647,GM,Argentina ,662,1998,108,,25
109,Markus Ragger ,2647,GM,Austria ,1703,1988,109,,35
110,Jorge Cori ,2645,GM,Peru ,525,1995,110,,28
111,Ngoc Truong Son Nguyen ,2645,GM,Viet Nam ,971,1990,111,,33
112,Karen H Grigoryan ,2643,GM,Armenia ,720,1995,112,,28
113,Yuriy Kuzubov ,2642,GM,Ukraine ,1427,1990,113,,33
114,Liviu Dieter Nisipeanu ,2642,GM,Germany ,1978,1976,114,,47
115,Ruslan Ponomariov ,2642,GM,Ukraine ,2106,1983,115,,40
116,Pouya Idani ,2641,GM,Iran ,584,1995,116,,28
117,Alexander Donchenko ,2640,GM,Germany ,1242,1998,117,,25
118,Alexander Onischuk ,2640,GM,United States ,1484,1975,118,,48
119,Vasif Durarbayli ,2638,GM,Azerbaijan ,605,1992,119,,31
120,Jan Gustafsson ,2638,GM,Germany ,1458,1979,120,,44
121,Jon Ludvig Hammer ,2638,GM,Norway ,972,1990,121,,33
122,Krishnan Sasikiran ,2638,GM,India ,1919,1981,122,,42
123,Benjamin Gledura ,2637,GM,Hungary ,524,1999,123,,24
124,Sergei Rublevsky ,2637,GM,Russian Federation ,1731,1974,124,,49
125,Wojciech Moranda ,2636,GM,Poland ,586,1988,125,,35
126,Kacper Piorun ,2636,GM,Poland ,1136,1991,126,,32
127,Aleksandr Rakhmanov ,2635,GM,Russian Federation ,1507,1989,127,,34
128,Aleksandr Riazantsev ,2635,GM,Russian Federation ,2144,1985,128,,38
129,Erwin L'Ami ,2634,GM,Netherlands ,961,1985,129,,38
130,Hrant Melkumyan ,2634,GM,Armenia ,1028,1989,130,,34
131,Ioannis Papaioannou ,2634,GM,Greece ,677,1976,131,,47
132,Pavel Ponkratov ,2634,GM,Russian Federation ,1637,1988,132,,35
133,Mustafa Yilmaz ,2634,GM,Turkey ,926,1992,133,,31
134,Nijat Abasov ,2633,GM,Azerbaijan ,667,1995,134,,28
135,Luka Lenic ,2633,GM,Slovenia ,1158,1988,135,,35
136,Maksim Chigaev ,2632,GM,FIDE ,1145,1996,136,,27
137,Alexander Motylev ,2632,GM,FIDE ,2006,1979,137,,44
138,Evgeny Bareev ,2631,GM,Canada ,1885,1966,138,,57
139,Laurent Fressinet ,2631,GM,France ,2303,1981,139,,42
140,Maxime Lagarde ,2631,GM,France ,832,1994,140,,29
141,Tamir Nabaty ,2631,GM,Israel ,617,1991,141,,32
142,Bartosz Socko ,2630,GM,Poland ,2499,1978,142,,45
143,Thai Dai Van Nguyen ,2629,GM,Czech Republic ,732,2001,143,,22
144,Javokhir Sindarov ,2629,GM,Uzbekistan ,389,2005,144,,18
145,Constantin Lupulescu ,2628,GM,Romania ,1324,1984,145,,39
146,Abhijeet Gupta ,2627,GM,India ,1204,1989,146,,34
147,Ivan Popov ,2627,GM,Russian Federation ,1209,1990,147,,33
148,Awonder Liang ,2625,GM,United States ,429,2003,148,,20
149,Samvel Ter Sahakyan ,2625,GM,Armenia ,889,1993,149,,30
150,Loek Van Wely ,2624,GM,Netherlands ,3749,1972,150,,51
151,Lazaro Bruzon Batista ,2623,GM,United States ,1577,1982,151,,41
152,Vladislav Kovalev ,2623,GM,FIDE ,1114,1994,152,,29
153,S.P. Sethuraman ,2623,GM,India ,1209,1993,153,,30
154,Yaroslav Zherebukh ,2623,GM,United States ,658,1993,154,,30
155,Vladimir Akopian ,2620,GM,United States ,1830,1971,155,,52
156,Farrukh Amonatov ,2620,GM,Tajikistan ,961,1978,156,,45
157,Cristobal Henriquez Villagra ,2620,GM,Chile ,320,1996,157,,27
158,Aleksandar Indjic ,2620,GM,Serbia ,903,1995,158,,28
159,Viktor Laznicka ,2620,GM,Czech Republic ,1701,1988,159,,35
160,David Paravyan ,2620,GM,Russian Federation ,952,1998,160,,25
161,Nodirbek Yakubboev ,2620,GM,Uzbekistan ,364,2002,161,,21
162,Boris Grachev ,2619,GM,Russian Federation ,1869,1986,162,,37
163,Eduardo Iturrizaga Bonelli ,2619,GM,Spain ,1094,1989,163,,34
164,Jun Zhao ,2619,GM,China ,720,1986,164,,37
